"file","algorithm","variant","label","strategy","granularity","threads","recall","latency_us","speedup_vs_t1_same_variant","p","nlist","nprobe","ef","rerank_p","mode"
"ivf_omp_inter_t1.txt","ivf","ivf_omp_inter","ivf_omp_static_inter","omp","inter","1","0.96225","931.0007","1","","16","4","","",""
"ivf_omp_inter_t16.txt","ivf","ivf_omp_inter","ivf_omp_static_inter","omp","inter","16","0.96225","113.89565","8.1742","","16","4","","",""
"ivf_omp_inter_t2.txt","ivf","ivf_omp_inter","ivf_omp_static_inter","omp","inter","2","0.96225","438.33355","2.124","","16","4","","",""
"ivf_omp_inter_t4.txt","ivf","ivf_omp_inter","ivf_omp_static_inter","omp","inter","4","0.96225","262.14115","3.5515","","16","4","","",""
"ivf_omp_inter_t8.txt","ivf","ivf_omp_inter","ivf_omp_static_inter","omp","inter","8","0.96225","159.52995","5.8359","","16","4","","",""
"ivf_omp_intra_t1.txt","ivf","ivf_omp_intra","ivf_omp_dynamic_intra","omp","intra","1","0.96225","933.39535","1","","16","4","","",""
"ivf_omp_intra_t16.txt","ivf","ivf_omp_intra","ivf_omp_dynamic_intra","omp","intra","16","0.96225","845.37525","1.1041","","16","4","","",""
"ivf_omp_intra_t2.txt","ivf","ivf_omp_intra","ivf_omp_dynamic_intra","omp","intra","2","0.96225","628.6226","1.4848","","16","4","","",""
"ivf_omp_intra_t4.txt","ivf","ivf_omp_intra","ivf_omp_dynamic_intra","omp","intra","4","0.96225","977.276","0.9551","","16","4","","",""
"ivf_omp_intra_t8.txt","ivf","ivf_omp_intra","ivf_omp_dynamic_intra","omp","intra","8","0.96225","866.73795","1.0769","","16","4","","",""
"ivf_pthread_dynamic_inter_t1.txt","ivf","ivf_pthread_dynamic_inter","ivf_pthread_dynamic_inter","pthread_dynamic","inter","1","0.96225","830.12545","1","","16","4","","",""
"ivf_pthread_dynamic_inter_t16.txt","ivf","ivf_pthread_dynamic_inter","ivf_pthread_dynamic_inter","pthread_dynamic","inter","16","0.96225","116.9426","7.0986","","16","4","","",""
"ivf_pthread_dynamic_inter_t2.txt","ivf","ivf_pthread_dynamic_inter","ivf_pthread_dynamic_inter","pthread_dynamic","inter","2","0.96225","538.3996","1.5418","","16","4","","",""
"ivf_pthread_dynamic_inter_t4.txt","ivf","ivf_pthread_dynamic_inter","ivf_pthread_dynamic_inter","pthread_dynamic","inter","4","0.96225","211.5866","3.9233","","16","4","","",""
"ivf_pthread_dynamic_inter_t8.txt","ivf","ivf_pthread_dynamic_inter","ivf_pthread_dynamic_inter","pthread_dynamic","inter","8","0.96225","136.93225","6.0623","","16","4","","",""
"ivf_pthread_dynamic_intra_t1.txt","ivf","ivf_pthread_dynamic_intra","ivf_pthread_dynamic_intra","pthread_dynamic","intra","1","0.96225","1293.98065","1","","16","4","","",""
"ivf_pthread_dynamic_intra_t16.txt","ivf","ivf_pthread_dynamic_intra","ivf_pthread_dynamic_intra","pthread_dynamic","intra","16","0.96225","1442.0224","0.8973","","16","4","","",""
"ivf_pthread_dynamic_intra_t2.txt","ivf","ivf_pthread_dynamic_intra","ivf_pthread_dynamic_intra","pthread_dynamic","intra","2","0.96225","1116.5191","1.1589","","16","4","","",""
"ivf_pthread_dynamic_intra_t4.txt","ivf","ivf_pthread_dynamic_intra","ivf_pthread_dynamic_intra","pthread_dynamic","intra","4","0.96225","1013.05205","1.2773","","16","4","","",""
"ivf_pthread_dynamic_intra_t8.txt","ivf","ivf_pthread_dynamic_intra","ivf_pthread_dynamic_intra","pthread_dynamic","intra","8","0.96225","957.9952","1.3507","","16","4","","",""
"ivf_pthread_pool_inter_t1.txt","ivf","ivf_pthread_pool_inter","ivf_pthread_pool_inter","pthread_pool","inter","1","0.96225","758.45335","1","","16","4","","",""
"ivf_pthread_pool_inter_t16.txt","ivf","ivf_pthread_pool_inter","ivf_pthread_pool_inter","pthread_pool","inter","16","0.96225","104.67185","7.246","","16","4","","",""
"ivf_pthread_pool_inter_t2.txt","ivf","ivf_pthread_pool_inter","ivf_pthread_pool_inter","pthread_pool","inter","2","0.96225","423.16535","1.7923","","16","4","","",""
"ivf_pthread_pool_inter_t4.txt","ivf","ivf_pthread_pool_inter","ivf_pthread_pool_inter","pthread_pool","inter","4","0.96225","222.16055","3.414","","16","4","","",""
"ivf_pthread_pool_inter_t8.txt","ivf","ivf_pthread_pool_inter","ivf_pthread_pool_inter","pthread_pool","inter","8","0.96225","222.56905","3.4077","","16","4","","",""
"ivf_pthread_pool_intra_t1.txt","ivf","ivf_pthread_pool_intra","ivf_pthread_pool_intra","pthread_pool","intra","1","0.96225","1373.3831","1","","16","4","","",""
"ivf_pthread_pool_intra_t16.txt","ivf","ivf_pthread_pool_intra","ivf_pthread_pool_intra","pthread_pool","intra","16","0.96225","2678.682","0.5127","","16","4","","",""
"ivf_pthread_pool_intra_t2.txt","ivf","ivf_pthread_pool_intra","ivf_pthread_pool_intra","pthread_pool","intra","2","0.96225","989.41205","1.3881","","16","4","","",""
"ivf_pthread_pool_intra_t4.txt","ivf","ivf_pthread_pool_intra","ivf_pthread_pool_intra","pthread_pool","intra","4","0.96225","1059.5519","1.2962","","16","4","","",""
"ivf_pthread_pool_intra_t8.txt","ivf","ivf_pthread_pool_intra","ivf_pthread_pool_intra","pthread_pool","intra","8","0.96225","1211.3305","1.1338","","16","4","","",""
"ivf_pthread_static_inter_t1.txt","ivf","ivf_pthread_static_inter","ivf_pthread_static_inter","pthread_static","inter","1","0.96225","871.8436","1","","16","4","","",""
"ivf_pthread_static_inter_t16.txt","ivf","ivf_pthread_static_inter","ivf_pthread_static_inter","pthread_static","inter","16","0.96225","132.0804","6.6009","","16","4","","",""
"ivf_pthread_static_inter_t2.txt","ivf","ivf_pthread_static_inter","ivf_pthread_static_inter","pthread_static","inter","2","0.96225","385.3766","2.2623","","16","4","","",""
"ivf_pthread_static_inter_t4.txt","ivf","ivf_pthread_static_inter","ivf_pthread_static_inter","pthread_static","inter","4","0.96225","236.05325","3.6934","","16","4","","",""
"ivf_pthread_static_inter_t8.txt","ivf","ivf_pthread_static_inter","ivf_pthread_static_inter","pthread_static","inter","8","0.96225","176.0179","4.9532","","16","4","","",""
"ivf_pthread_static_intra_t1.txt","ivf","ivf_pthread_static_intra","ivf_pthread_static_intra","pthread_static","intra","1","0.96225","1008.9052","1","","16","4","","",""
"ivf_pthread_static_intra_t16.txt","ivf","ivf_pthread_static_intra","ivf_pthread_static_intra","pthread_static","intra","16","0.96225","1507.84345","0.6691","","16","4","","",""
"ivf_pthread_static_intra_t2.txt","ivf","ivf_pthread_static_intra","ivf_pthread_static_intra","pthread_static","intra","2","0.96225","947.3846","1.0649","","16","4","","",""
"ivf_pthread_static_intra_t4.txt","ivf","ivf_pthread_static_intra","ivf_pthread_static_intra","pthread_static","intra","4","0.96225","862.90405","1.1692","","16","4","","",""
"ivf_pthread_static_intra_t8.txt","ivf","ivf_pthread_static_intra","ivf_pthread_static_intra","pthread_static","intra","8","0.96225","925.6858","1.0899","","16","4","","",""
"ivf_simd_t1.txt","ivf","ivf_simd","ivf_simd_serial","baseline","","1","0.96225","849.90535","1","","16","4","","",""
"ivf_simd_t16.txt","ivf","ivf_simd","ivf_simd_serial","baseline","","16","0.96225","1097.8039","0.7742","","16","4","","",""
"ivf_simd_t2.txt","ivf","ivf_simd","ivf_simd_serial","baseline","","2","0.96225","1168.3251","0.7275","","16","4","","",""
"ivf_simd_t4.txt","ivf","ivf_simd","ivf_simd_serial","baseline","","4","0.96225","1040.31605","0.817","","16","4","","",""
"ivf_simd_t8.txt","ivf","ivf_simd","ivf_simd_serial","baseline","","8","0.96225","779.41845","1.0904","","16","4","","",""
"ivfpq_omp_inter_t1.txt","ivfpq","ivfpq_omp_inter","ivfpq_omp_static_inter","omp","inter","1","0.6918","814.69965","1","100","16","4","","","global"
"ivfpq_omp_inter_t16.txt","ivfpq","ivfpq_omp_inter","ivfpq_omp_static_inter","omp","inter","16","0.6918","106.836","7.6257","100","16","4","","","global"
"ivfpq_omp_inter_t2.txt","ivfpq","ivfpq_omp_inter","ivfpq_omp_static_inter","omp","inter","2","0.6918","312.77795","2.6047","100","16","4","","","global"
